 # Step    Magnetization_per_site
    100100    0.04492188
    100200    0.04492188
    100300    0.04492188
    100400    0.04492188
    100500    0.04492188
    100600    0.04492188
    100700    0.04492188
    100800    0.04492188
    100900    0.04492188
    101000    0.04492188
    101100    0.04492188
    101200    0.04492188
    101300    0.04492188
    101400    0.04492188
    101500    0.04492188
    101600    0.04492188
    101700    0.04492188
    101800    0.04492188
    101900    0.04492188
    102000    0.04492188
    102100    0.04492188
    102200    0.04492188
    102300    0.04492188
    102400    0.04492188
    102500    0.04492188
    102600    0.04492188
    102700    0.04492188
    102800    0.04492188
    102900    0.04492188
    103000    0.04492188
    103100    0.04492188
    103200    0.04492188
    103300    0.04492188
    103400    0.04492188
    103500    0.04492188
    103600    0.04492188
    103700    0.04492188
    103800    0.04492188
    103900    0.04492188
    104000    0.04492188
    104100    0.04492188
    104200    0.04492188
    104300    0.04492188
    104400    0.04492188
    104500    0.04492188
    104600    0.04492188
    104700    0.04492188
    104800    0.04492188
    104900    0.04492188
    105000    0.04492188
    105100    0.04492188
    105200    0.04492188
    105300    0.04492188
    105400    0.04492188
    105500    0.04492188
    105600    0.04492188
    105700    0.04492188
    105800    0.04492188
    105900    0.04492188
    106000    0.04492188
    106100    0.04492188
    106200    0.04492188
    106300    0.04492188
    106400    0.04492188
    106500    0.04492188
    106600    0.04492188
    106700    0.04492188
    106800    0.04492188
    106900    0.04492188
    107000    0.04492188
    107100    0.04492188
    107200    0.04492188
    107300    0.04492188
    107400    0.04492188
    107500    0.04492188
    107600    0.04492188
    107700    0.04492188
    107800    0.04492188
    107900    0.04492188
    108000    0.04492188
    108100    0.04492188
    108200    0.04492188
    108300    0.04492188
    108400    0.04492188
    108500    0.04492188
    108600    0.04492188
    108700    0.04492188
    108800    0.04492188
    108900    0.04492188
    109000    0.04492188
    109100    0.04492188
    109200    0.04492188
    109300    0.04492188
    109400    0.04492188
    109500    0.04492188
    109600    0.04492188
    109700    0.04492188
    109800    0.04492188
    109900    0.04492188
    110000    0.04492188
    110100    0.04492188
    110200    0.04492188
    110300    0.04492188
    110400    0.04492188
    110500    0.04492188
    110600    0.04492188
    110700    0.04492188
    110800    0.04492188
    110900    0.04492188
    111000    0.04492188
    111100    0.04492188
    111200    0.04492188
    111300    0.04492188
    111400    0.04492188
    111500    0.04492188
    111600    0.04492188
    111700    0.04492188
    111800    0.04492188
    111900    0.04492188
    112000    0.04492188
    112100    0.04492188
    112200    0.04492188
    112300    0.04492188
    112400    0.04492188
    112500    0.04492188
    112600    0.04492188
    112700    0.04492188
    112800    0.04492188
    112900    0.04492188
    113000    0.04492188
    113100    0.04492188
    113200    0.04492188
    113300    0.04492188
    113400    0.04492188
    113500    0.04492188
    113600    0.04492188
    113700    0.04492188
    113800    0.04492188
    113900    0.04492188
    114000    0.04492188
    114100    0.04492188
    114200    0.04492188
    114300    0.04492188
    114400    0.04492188
    114500    0.04492188
    114600    0.04492188
    114700    0.04492188
    114800    0.04492188
    114900    0.04492188
    115000    0.04492188
    115100    0.04492188
    115200    0.04492188
    115300    0.04492188
    115400    0.04492188
    115500    0.04492188
    115600    0.04492188
    115700    0.04492188
    115800    0.04492188
    115900    0.04492188
    116000    0.04492188
    116100    0.04492188
    116200    0.04492188
    116300    0.04492188
    116400    0.04492188
    116500    0.04492188
    116600    0.04492188
    116700    0.04492188
    116800    0.04492188
    116900    0.04492188
    117000    0.04492188
    117100    0.04492188
    117200    0.04492188
    117300    0.04492188
    117400    0.04492188
    117500    0.04492188
    117600    0.04492188
    117700    0.04492188
    117800    0.04492188
    117900    0.04492188
    118000    0.04492188
    118100    0.04492188
    118200    0.04492188
    118300    0.04492188
    118400    0.04492188
    118500    0.04492188
    118600    0.04492188
    118700    0.04492188
    118800    0.04492188
    118900    0.04492188
    119000    0.04492188
    119100    0.04492188
    119200    0.04492188
    119300    0.04492188
    119400    0.04492188
    119500    0.04492188
    119600    0.04492188
    119700    0.04492188
    119800    0.04492188
    119900    0.04492188
    120000    0.04492188
    120100    0.04492188
    120200    0.04492188
    120300    0.04492188
    120400    0.04492188
    120500    0.04492188
    120600    0.04492188
    120700    0.04492188
    120800    0.04492188
    120900    0.04492188
    121000    0.04492188
    121100    0.04492188
    121200    0.04492188
    121300    0.04492188
    121400    0.04492188
    121500    0.04492188
    121600    0.04492188
    121700    0.04492188
    121800    0.04492188
    121900    0.04492188
    122000    0.04492188
    122100    0.04492188
    122200    0.04492188
    122300    0.04492188
    122400    0.04492188
    122500    0.04492188
    122600    0.04492188
    122700    0.04492188
    122800    0.04492188
    122900    0.04492188
    123000    0.04492188
    123100    0.04492188
    123200    0.04492188
    123300    0.04492188
    123400    0.04492188
    123500    0.04492188
    123600    0.04492188
    123700    0.04492188
    123800    0.04492188
    123900    0.04492188
    124000    0.04492188
    124100    0.04492188
    124200    0.04492188
    124300    0.04492188
    124400    0.04492188
    124500    0.04492188
    124600    0.04492188
    124700    0.04492188
    124800    0.04492188
    124900    0.04492188
    125000    0.04492188
    125100    0.04492188
    125200    0.04492188
    125300    0.04492188
    125400    0.04492188
    125500    0.04492188
    125600    0.04492188
    125700    0.04492188
    125800    0.04492188
