 # Step    Magnetization_per_site
    100100   -0.01953125
    100200   -0.01953125
    100300   -0.01953125
    100400   -0.01953125
    100500   -0.01953125
    100600   -0.01953125
    100700   -0.01953125
    100800   -0.01953125
    100900   -0.01953125
    101000   -0.01953125
    101100   -0.01953125
    101200   -0.01953125
    101300   -0.01953125
    101400   -0.01953125
    101500   -0.01953125
    101600   -0.01953125
    101700   -0.01953125
    101800   -0.01953125
    101900   -0.01953125
    102000   -0.01953125
    102100   -0.01953125
    102200   -0.01953125
    102300   -0.01953125
    102400   -0.01953125
    102500   -0.01953125
    102600   -0.01953125
    102700   -0.01953125
    102800   -0.01953125
    102900   -0.01953125
    103000   -0.01953125
    103100   -0.01953125
    103200   -0.01953125
    103300   -0.01953125
    103400   -0.01953125
    103500   -0.01953125
    103600   -0.01953125
    103700   -0.01953125
    103800   -0.01953125
    103900   -0.01953125
    104000   -0.01953125
    104100   -0.01953125
    104200   -0.01953125
    104300   -0.01953125
    104400   -0.01953125
    104500   -0.01953125
    104600   -0.01953125
    104700   -0.01953125
    104800   -0.01953125
    104900   -0.01953125
    105000   -0.01953125
    105100   -0.01953125
    105200   -0.01953125
    105300   -0.01953125
    105400   -0.01953125
    105500   -0.01953125
    105600   -0.01953125
    105700   -0.01953125
    105800   -0.01953125
    105900   -0.01953125
    106000   -0.01953125
    106100   -0.01953125
    106200   -0.01953125
    106300   -0.01953125
    106400   -0.01953125
    106500   -0.01953125
    106600   -0.01953125
    106700   -0.01953125
    106800   -0.01953125
    106900   -0.01953125
    107000   -0.01953125
    107100   -0.01953125
    107200   -0.01953125
    107300   -0.01953125
    107400   -0.01953125
    107500   -0.01953125
    107600   -0.01953125
    107700   -0.01953125
    107800   -0.01953125
    107900   -0.01953125
    108000   -0.01953125
    108100   -0.01953125
    108200   -0.01953125
    108300   -0.01953125
    108400   -0.01953125
    108500   -0.01953125
    108600   -0.01953125
    108700   -0.01953125
    108800   -0.01953125
    108900   -0.01953125
    109000   -0.01953125
    109100   -0.01953125
    109200   -0.01953125
    109300   -0.01953125
    109400   -0.01953125
    109500   -0.01953125
    109600   -0.01953125
    109700   -0.01953125
    109800   -0.01953125
    109900   -0.01953125
    110000   -0.01953125
    110100   -0.01953125
    110200   -0.01953125
    110300   -0.01953125
    110400   -0.01953125
    110500   -0.01953125
    110600   -0.01953125
    110700   -0.01953125
    110800   -0.01953125
    110900   -0.01953125
    111000   -0.01953125
    111100   -0.01953125
    111200   -0.01953125
    111300   -0.01953125
    111400   -0.01953125
    111500   -0.01953125
    111600   -0.01953125
    111700   -0.01953125
    111800   -0.01953125
    111900   -0.01953125
    112000   -0.01953125
    112100   -0.01953125
    112200   -0.01953125
    112300   -0.01953125
    112400   -0.01953125
    112500   -0.01953125
    112600   -0.01953125
    112700   -0.01953125
    112800   -0.01953125
    112900   -0.01953125
    113000   -0.01953125
    113100   -0.01953125
    113200   -0.01953125
    113300   -0.01953125
    113400   -0.01953125
    113500   -0.01953125
    113600   -0.01953125
    113700   -0.01953125
    113800   -0.01953125
    113900   -0.01953125
    114000   -0.01953125
    114100   -0.01953125
    114200   -0.01953125
    114300   -0.01953125
    114400   -0.01953125
    114500   -0.01953125
    114600   -0.01953125
    114700   -0.01953125
    114800   -0.01953125
    114900   -0.01953125
    115000   -0.01953125
    115100   -0.01953125
    115200   -0.01953125
    115300   -0.01953125
    115400   -0.01953125
    115500   -0.01953125
    115600   -0.01953125
    115700   -0.01953125
    115800   -0.01953125
    115900   -0.01953125
    116000   -0.01953125
    116100   -0.01953125
    116200   -0.01953125
    116300   -0.01953125
    116400   -0.01953125
    116500   -0.01953125
    116600   -0.01953125
    116700   -0.01953125
    116800   -0.01953125
    116900   -0.01953125
    117000   -0.01953125
    117100   -0.01953125
    117200   -0.01953125
    117300   -0.01953125
    117400   -0.01953125
    117500   -0.01953125
    117600   -0.01953125
    117700   -0.01953125
    117800   -0.01953125
    117900   -0.01953125
    118000   -0.01953125
    118100   -0.01953125
