 # Step    Magnetization_per_site
    100100   -0.05468750
    100200   -0.05468750
    100300   -0.05468750
    100400   -0.05468750
    100500   -0.05468750
    100600   -0.05468750
    100700   -0.05468750
    100800   -0.05468750
    100900   -0.05468750
    101000   -0.05468750
    101100   -0.05468750
    101200   -0.05468750
    101300   -0.05468750
    101400   -0.05468750
    101500   -0.05468750
    101600   -0.05468750
    101700   -0.05468750
    101800   -0.05468750
    101900   -0.05468750
    102000   -0.05468750
    102100   -0.05468750
    102200   -0.05468750
    102300   -0.05468750
    102400   -0.05468750
    102500   -0.05468750
    102600   -0.05468750
    102700   -0.05468750
    102800   -0.05468750
    102900   -0.05468750
    103000   -0.05468750
    103100   -0.05468750
    103200   -0.05468750
    103300   -0.05468750
    103400   -0.05468750
    103500   -0.05468750
    103600   -0.05468750
    103700   -0.05468750
    103800   -0.05468750
    103900   -0.05468750
    104000   -0.05468750
    104100   -0.05468750
    104200   -0.05468750
    104300   -0.05468750
    104400   -0.05468750
    104500   -0.05468750
    104600   -0.05468750
    104700   -0.05468750
    104800   -0.05468750
    104900   -0.05468750
    105000   -0.05468750
    105100   -0.05468750
    105200   -0.05468750
    105300   -0.05468750
    105400   -0.05468750
    105500   -0.05468750
    105600   -0.05468750
    105700   -0.05468750
    105800   -0.05468750
    105900   -0.05468750
    106000   -0.05468750
    106100   -0.05468750
    106200   -0.05468750
    106300   -0.05468750
    106400   -0.05468750
    106500   -0.05468750
    106600   -0.05468750
    106700   -0.05468750
    106800   -0.05468750
    106900   -0.05468750
    107000   -0.05468750
    107100   -0.05468750
    107200   -0.05468750
    107300   -0.05468750
    107400   -0.05468750
    107500   -0.05468750
    107600   -0.05468750
    107700   -0.05468750
    107800   -0.05468750
    107900   -0.05468750
    108000   -0.05468750
    108100   -0.05468750
    108200   -0.05468750
    108300   -0.05468750
    108400   -0.05468750
    108500   -0.05468750
    108600   -0.05468750
    108700   -0.05468750
    108800   -0.05468750
    108900   -0.05468750
    109000   -0.05468750
