 # Step    Magnetization_per_site
    100100   -0.00390625
    100200   -0.00390625
    100300   -0.00390625
    100400   -0.00390625
    100500   -0.00390625
    100600   -0.00390625
    100700   -0.00390625
    100800   -0.00390625
    100900   -0.00390625
    101000   -0.00390625
    101100   -0.00390625
    101200   -0.00390625
    101300   -0.00390625
    101400   -0.00390625
    101500   -0.00390625
    101600   -0.00390625
    101700   -0.00390625
    101800   -0.00390625
    101900   -0.00390625
    102000   -0.00390625
    102100   -0.00390625
    102200   -0.00390625
    102300   -0.00390625
    102400   -0.00390625
    102500   -0.00390625
    102600   -0.00390625
    102700   -0.00390625
    102800   -0.00390625
    102900   -0.00390625
    103000   -0.00390625
    103100   -0.00390625
    103200   -0.00390625
    103300   -0.00390625
    103400   -0.00390625
    103500   -0.00390625
    103600   -0.00390625
    103700   -0.00390625
    103800   -0.00390625
    103900   -0.00390625
    104000   -0.00390625
    104100   -0.00390625
    104200   -0.00390625
    104300   -0.00390625
    104400   -0.00390625
    104500   -0.00390625
    104600   -0.00390625
    104700   -0.00390625
    104800   -0.00390625
    104900   -0.00390625
    105000   -0.00390625
    105100   -0.00390625
    105200   -0.00390625
    105300   -0.00390625
    105400   -0.00390625
    105500   -0.00390625
    105600   -0.00390625
    105700   -0.00390625
    105800   -0.00390625
    105900   -0.00390625
    106000   -0.00390625
    106100   -0.00390625
    106200   -0.00390625
    106300   -0.00390625
    106400   -0.00390625
    106500   -0.00390625
    106600   -0.00390625
    106700   -0.00390625
    106800   -0.00390625
    106900   -0.00390625
    107000   -0.00390625
    107100   -0.00390625
    107200   -0.00390625
    107300   -0.00390625
    107400   -0.00390625
    107500   -0.00390625
    107600   -0.00390625
    107700   -0.00390625
    107800   -0.00390625
    107900   -0.00390625
    108000   -0.00390625
    108100   -0.00390625
    108200   -0.00390625
    108300   -0.00390625
    108400   -0.00390625
    108500   -0.00390625
    108600   -0.00390625
    108700   -0.00390625
    108800   -0.00390625
    108900   -0.00390625
