 # Step    Magnetization_per_site
    100100    0.01367188
    100200    0.01367188
    100300    0.01367188
    100400    0.01367188
    100500    0.01367188
    100600    0.01367188
    100700    0.01367188
    100800    0.01367188
    100900    0.01367188
    101000    0.01367188
    101100    0.01367188
    101200    0.01367188
    101300    0.01367188
    101400    0.01367188
    101500    0.01367188
    101600    0.01367188
    101700    0.01367188
    101800    0.01367188
    101900    0.01367188
    102000    0.01367188
    102100    0.01367188
    102200    0.01367188
    102300    0.01367188
    102400    0.01367188
    102500    0.01367188
    102600    0.01367188
    102700    0.01367188
    102800    0.01367188
    102900    0.01367188
    103000    0.01367188
    103100    0.01367188
    103200    0.01367188
    103300    0.01367188
    103400    0.01367188
    103500    0.01367188
    103600    0.01367188
    103700    0.01367188
    103800    0.01367188
    103900    0.01367188
    104000    0.01367188
    104100    0.01367188
    104200    0.01367188
    104300    0.01367188
    104400    0.01367188
    104500    0.01367188
    104600    0.01367188
    104700    0.01367188
    104800    0.01367188
    104900    0.01367188
    105000    0.01367188
    105100    0.01367188
    105200    0.01367188
    105300    0.01367188
    105400    0.01367188
    105500    0.01367188
    105600    0.01367188
    105700    0.01367188
    105800    0.01367188
    105900    0.01367188
    106000    0.01367188
    106100    0.01367188
    106200    0.01367188
    106300    0.01367188
    106400    0.01367188
    106500    0.01367188
    106600    0.01367188
    106700    0.01367188
    106800    0.01367188
    106900    0.01367188
    107000    0.01367188
    107100    0.01367188
    107200    0.01367188
    107300    0.01367188
    107400    0.01367188
    107500    0.01367188
    107600    0.01367188
    107700    0.01367188
    107800    0.01367188
    107900    0.01367188
    108000    0.01367188
    108100    0.01367188
    108200    0.01367188
    108300    0.01367188
    108400    0.01367188
    108500    0.01367188
    108600    0.01367188
    108700    0.01367188
    108800    0.01367188
    108900    0.01367188
    109000    0.01367188
    109100    0.01367188
    109200    0.01367188
    109300    0.01367188
    109400    0.01367188
    109500    0.01367188
    109600    0.01367188
    109700    0.01367188
    109800    0.01367188
    109900    0.01367188
    110000    0.01367188
    110100    0.01367188
    110200    0.01367188
    110300    0.01367188
    110400    0.01367188
    110500    0.01367188
    110600    0.01367188
    110700    0.01367188
    110800    0.01367188
    110900    0.01367188
    111000    0.01367188
    111100    0.01367188
    111200    0.01367188
    111300    0.01367188
    111400    0.01367188
    111500    0.01367188
    111600    0.01367188
    111700    0.01367188
    111800    0.01367188
    111900    0.01367188
    112000    0.01367188
    112100    0.01367188
    112200    0.01367188
    112300    0.01367188
    112400    0.01367188
    112500    0.01367188
    112600    0.01367188
    112700    0.01367188
    112800    0.01367188
    112900    0.01367188
    113000    0.01367188
    113100    0.01367188
    113200    0.01367188
    113300    0.01367188
    113400    0.01367188
    113500    0.01367188
    113600    0.01367188
    113700    0.01367188
    113800    0.01367188
    113900    0.01367188
    114000    0.01367188
    114100    0.01367188
    114200    0.01367188
    114300    0.01367188
    114400    0.01367188
    114500    0.01367188
    114600    0.01367188
    114700    0.01367188
    114800    0.01367188
    114900    0.01367188
    115000    0.01367188
    115100    0.01367188
    115200    0.01367188
    115300    0.01367188
    115400    0.01367188
    115500    0.01367188
    115600    0.01367188
    115700    0.01367188
    115800    0.01367188
    115900    0.01367188
    116000    0.01367188
    116100    0.01367188
    116200    0.01367188
    116300    0.01367188
    116400    0.01367188
    116500    0.01367188
    116600    0.01367188
    116700    0.01367188
    116800    0.01367188
    116900    0.01367188
    117000    0.01367188
    117100    0.01367188
    117200    0.01367188
    117300    0.01367188
    117400    0.01367188
    117500    0.01367188
    117600    0.01367188
    117700    0.01367188
    117800    0.01367188
    117900    0.01367188
    118000    0.01367188
    118100    0.01367188
    118200    0.01367188
    118300    0.01367188
    118400    0.01367188
    118500    0.01367188
    118600    0.01367188
    118700    0.01367188
    118800    0.01367188
    118900    0.01367188
    119000    0.01367188
    119100    0.01367188
    119200    0.01367188
    119300    0.01367188
    119400    0.01367188
    119500    0.01367188
    119600    0.01367188
    119700    0.01367188
    119800    0.01367188
    119900    0.01367188
    120000    0.01367188
    120100    0.01367188
    120200    0.01367188
    120300    0.01367188
    120400    0.01367188
    120500    0.01367188
    120600    0.01367188
    120700    0.01367188
    120800    0.01367188
    120900    0.01367188
    121000    0.01367188
    121100    0.01367188
    121200    0.01367188
    121300    0.01367188
    121400    0.01367188
    121500    0.01367188
    121600    0.01367188
    121700    0.01367188
    121800    0.01367188
    121900    0.01367188
    122000    0.01367188
    122100    0.01367188
    122200    0.01367188
    122300    0.01367188
    122400    0.01367188
    122500    0.01367188
    122600    0.01367188
    122700    0.01367188
    122800    0.01367188
    122900    0.01367188
    123000    0.01367188
    123100    0.01367188
    123200    0.01367188
    123300    0.01367188
    123400    0.01367188
    123500    0.01367188
    123600    0.01367188
    123700    0.01367188
    123800    0.01367188
    123900    0.01367188
    124000    0.01367188
    124100    0.01367188
    124200    0.01367188
    124300    0.01367188
    124400    0.01367188
    124500    0.01367188
    124600    0.01367188
    124700    0.01367188
    124800    0.01367188
    124900    0.01367188
    125000    0.01367188
    125100    0.01367188
    125200    0.01367188
    125300    0.01367188
    125400    0.01367188
    125500    0.01367188
    125600    0.01367188
    125700    0.01367188
    125800    0.01367188
    125900    0.01367188
    126000    0.01367188
    126100    0.01367188
    126200    0.01367188
    126300    0.01367188
    126400    0.01367188
    126500    0.01367188
    126600    0.01367188
    126700    0.01367188
    126800    0.01367188
    126900    0.01367188
    127000    0.01367188
    127100    0.01367188
    127200    0.01367188
    127300    0.01367188
    127400    0.01367188
    127500    0.01367188
    127600    0.01367188
    127700    0.01367188
    127800    0.01367188
    127900    0.01367188
    128000    0.01367188
    128100    0.01367188
    128200    0.01367188
    128300    0.01367188
    128400    0.01367188
    128500    0.01367188
    128600    0.01367188
    128700    0.01367188
    128800    0.01367188
    128900    0.01367188
    129000    0.01367188
    129100    0.01367188
    129200    0.01367188
    129300    0.01367188
    129400    0.01367188
    129500    0.01367188
    129600    0.01367188
    129700    0.01367188
    129800    0.01367188
    129900    0.01367188
    130000    0.01367188
    130100    0.01367188
    130200    0.01367188
    130300    0.01367188
    130400    0.01367188
    130500    0.01367188
    130600    0.01367188
    130700    0.01367188
    130800    0.01367188
    130900    0.01367188
    131000    0.01367188
    131100    0.01367188
    131200    0.01367188
    131300    0.01367188
    131400    0.01367188
    131500    0.01367188
    131600    0.01367188
    131700    0.01367188
    131800    0.01367188
    131900    0.01367188
    132000    0.01367188
    132100    0.01367188
    132200    0.01367188
    132300    0.01367188
    132400    0.01367188
    132500    0.01367188
    132600    0.01367188
    132700    0.01367188
    132800    0.01367188
    132900    0.01367188
    133000    0.01367188
    133100    0.01367188
